,id_especie,nome_cientifico,nome_popular_1,genero,especie,familia,densidade_basica,contracao_tangencial,contracao_radial,contracao_volumetrica,relacao_tangencial_radial,flexao_seca_moe,flexao_seca_mor,compressao_paralela_seca,dureza_janka_paralela_seca,dureza_janka_transversal_seca,cisalhamento_seca,cor_cerne_classificacao,textura,gra,brilho,cerne_alburno,figura_tangencial,secagem_duracao_dias
85,229,Tachigali poeppigiana = Sclerolobium poeppigianum,TAXI-PITOMBA,Tachigali,poeppigiana,Caesalpiniaceae,0.65,8.1,4.2,12.6,1.93,13.14,128.76,67.67,7982.63,6580.28,17.75,cinza,média a grossa,cruzada irregular a direita,moderado,indistintos ,em linhas vasculares bem destacadas e em forma de V causada por anéis de crescimento,
86,256,Tetragastris altissima,BREU-MANGA,Tetragastris,altissima,Burseraceae,0.74,9.0,4.6,13.0,1.96,14.32,134.65,76.39,12013.18,9649.77,17.95,cinza,média,cruzada revessa,moderado,indistintos,em linhas causadas por anéis de crescimento pouco destacados e pela grã revessa,
87,257,Tetragastris panamensis,BARROTE,Tetragastris,panamensis,Burseraceae,0.77,9.9,5.1,15.0,1.94,13.24,122.49,68.74,13582.24,11287.48,20.1,marrom,media a fina,cruzada irregular,ausente,pouco distintos, Figura tangenciai: em manchas longitudinais irregulares causadas por anéis de crescimento,9
88,259,Trattinnickia burserifolia,AMESCLA,Trattinnickia,burserifolia,Burseraceae,0.5,6.8,4.1,11.7,1.66,10.98,64.14,45.11,5099.47,,9.9,marrom,media,cruzada irregular,moderado,pouco distintos a indistintos,não apresenta,
89,260,Trichilia lecointei,PRACUÚBA-DA-TERRA-FIRME,Trichilia,lecointei,Meliaceae,0.9,8.2,4.4,13.2,1.86,16.38,157.69,86.4,13062.49,14052.97,18.53,marrom,média a fine,cruzada irregular,ausente,distintos,"em manchas longitudinais irregulares, causadas por anéis de crescimento",4
90,261,Vantanea parviflora,UXIRANA,Vantanea,parviflora,Humiriaceae,0.86,10.3,8.2,17.6,1.26,17.55,169.85,86.4,15435.71,13111.52,17.75,marrom,média,direita a cruzada revessa,moderado,indistintos,causada por linhas vasculares destacadas,8
91,263,Vatairea paraensis,FAVEIRA-AMARGOSA,Vatairea,paraensis,Fabaceae,0.78,9.8,4.8,14.0,2.04,15.0,148.37,77.77,9159.43,9669.38,15.79,marrom,média a grossa,cruzada revessa,ausente,distintos,"de aspecto fibroso atenuado, causado por destaque de parênqulma axial e linhas vasculares",
92,265,Vatairea sericea,ANGELIM-AMARGOSO,Vatairea,sericea,Fabaceae,0.71,8.4,4.5,13.9,1.87,14.91,135.43,64.82,7649.21,7894.37,13.83,marrom,média a grossa,cruzada irregular,ausente,distintos,de aspecto fibroso atenuado causado por destaque de parênquima axial e linhas vasculares,5
93,272,Vochysia guianensis,QUARUBA,Vochysia,guianensis,Vochysiaceae,0.54,11.5,5.0,17.5,2.3,14.02,121.31,65.31,7776.69,6962.74,12.26,rosa,média a grossa,cruzada revessa,moderado,distintos,"em linhas longitudinais, causadas por anéis de crescimento",
94,275,Vochysia guianensis = Vochysia melinoni,QUARUBA,Vochysia,guianensis,Vochysiaceae,0.51,10.8,4.7,14.1,2.3,11.87,97.77,53.84,6913.71,5736.9,11.77,rosa,média a grossa,cruzada irregular,moderado,distintos,"em forma de V, causada por anéis de crescimento",
